timestamp
2025-04-07 13:28:48.141206980
2025-04-07 13:28:48.687919140
2025-04-07 13:28:49.321026325
2025-04-07 13:28:50.001690388
2025-04-07 13:28:50.655316353
2025-04-07 13:28:51.308108330
2025-04-07 13:28:51.981931210
2025-04-07 13:28:52.569891930
2025-04-07 13:28:53.221831799
2025-04-07 13:28:53.784852743
2025-04-07 13:28:54.326560736
2025-04-07 13:28:54.939995527
2025-04-07 13:28:55.492980719
2025-04-07 13:28:56.054594517
2025-04-07 13:28:56.633654833
2025-04-07 13:28:57.234105349
2025-04-07 13:28:57.863930464
2025-04-07 13:28:58.465494156
2025-04-07 13:28:59.108982563
2025-04-07 13:28:59.779849291
2025-04-07 13:29:00.468050003
2025-04-07 13:29:01.185845613
2025-04-07 13:29:01.805210590
2025-04-07 13:29:02.479084492
2025-04-07 13:29:03.076110840
2025-04-07 13:29:03.691825151
2025-04-07 13:29:04.297358036
2025-04-07 13:29:04.875213146
2025-04-07 13:29:05.455897093
2025-04-07 13:29:06.053966045
2025-04-07 13:29:06.656358480
2025-04-07 13:29:07.247262001
2025-04-07 13:29:07.883698463
2025-04-07 13:29:08.509444951
2025-04-07 13:29:09.168823004
2025-04-07 13:29:09.803041935
2025-04-07 13:29:10.452755213
2025-04-07 13:29:11.086101055
2025-04-07 13:29:11.704806566
2025-04-07 13:29:12.281023979
2025-04-07 13:29:12.875196934
2025-04-07 13:29:13.459967852
2025-04-07 13:29:14.050089836
2025-04-07 13:29:14.655383825
2025-04-07 13:29:15.224972963
2025-04-07 13:29:15.825324535
2025-04-07 13:29:16.447206974
2025-04-07 13:29:16.987614870
2025-04-07 13:29:17.552591801
2025-04-07 13:29:18.163145304
2025-04-07 13:29:18.737310648
2025-04-07 13:29:19.311637878
2025-04-07 13:29:19.877097607
2025-04-07 13:29:20.481613398
2025-04-07 13:29:21.025162935
2025-04-07 13:29:21.590587616
2025-04-07 13:29:22.196370125
2025-04-07 13:29:22.747206926
2025-04-07 13:29:23.243996859
2025-04-07 13:29:24.767464399
2025-04-07 13:29:25.366206884
2025-04-07 13:29:25.981656551
2025-04-07 13:29:26.510978699
2025-04-07 13:29:27.098206997
2025-04-07 13:29:27.696636677
2025-04-07 13:29:28.824833393
2025-04-07 13:29:29.437237263
2025-04-07 13:29:29.989586353
2025-04-07 13:29:30.536044359
2025-04-07 13:29:31.139713287
2025-04-07 13:29:31.729269981
2025-04-07 13:29:32.266139507
2025-04-07 13:29:32.874746561
2025-04-07 13:29:33.463085651
2025-04-07 13:29:33.992547750
2025-04-07 13:29:34.516419888
2025-04-07 13:29:35.129642963
2025-04-07 13:29:35.713520527
2025-04-07 13:29:36.324664831
2025-04-07 13:29:36.919756651
2025-04-07 13:29:37.528844118
2025-04-07 13:29:38.142449617
2025-04-07 13:29:38.712082863
2025-04-07 13:29:39.315908909
2025-04-07 13:29:39.949610233
2025-04-07 13:29:40.498107910
2025-04-07 13:29:41.053622961
2025-04-07 13:29:41.644121170
2025-04-07 13:29:42.228438616
2025-04-07 13:29:42.750939131
2025-04-07 13:29:43.268780231
2025-04-07 13:29:43.809298992
2025-04-07 13:29:44.441732645
2025-04-07 13:29:44.991456032
2025-04-07 13:29:45.599456549
2025-04-07 13:29:46.237637758
2025-04-07 13:29:46.830427170
2025-04-07 13:29:47.452807426
2025-04-07 13:29:48.022654057
2025-04-07 13:29:48.614482164
2025-04-07 13:29:49.248051643
2025-04-07 13:29:49.862082958
2025-04-07 13:29:50.456991196
2025-04-07 13:29:51.086030960
2025-04-07 13:29:51.676260710
2025-04-07 13:29:52.257136105
2025-04-07 13:29:52.823594332
2025-04-07 13:29:53.384997368
2025-04-07 13:29:53.960208416
2025-04-07 13:29:54.555657148
2025-04-07 13:29:55.114798069
2025-04-07 13:29:55.700883865
2025-04-07 13:29:56.309508085
2025-04-07 13:29:57.173415661
2025-04-07 13:29:57.874901772
2025-04-07 13:29:59.406068802
2025-04-07 13:30:00.170141220
2025-04-07 13:30:00.744772196
2025-04-07 13:30:01.313910246
2025-04-07 13:30:01.899214745
2025-04-07 13:30:02.533393860
2025-04-07 13:30:03.138231516
